wordId,word,description
1,DOOR,word
2,DEAR,word
3,READ,word
4,HARD,word
5,SOFT,word
6,POST,word
7,MOST,word
8,SORT,word
9,CARD,word
10,PART,word
11,FIND,word
12,STOP,word
41,DINF,no word
42,PSOT,no word
43,PLOF,no word
44,OOTS,no word
45,SOCT,no word
46,SOLP,no word
47,OLPS,no word
48,MRAT,no word
49,CALE,no word
50,DORC,no word
51,PORD,no word
52,RAMT,no word
53,TALS,no word
54,BLUB,no word
55,BLUC,no word
56,TLEF,no word
57,PIRT,no word
58,EMRO,no word
59,LEMO,no word
60,STOG,no word
13,FLOP,word
14,SPOT,word
15,SHOT,word
16,HOST,word
17,COST,word
18,TRAM,word
19,HEAD,word
20,CORD,word
21,DROP,word
22,SEAT,word
23,CLUB,word
24,BULB,word
25,LEFT,word
26,FELT,word
27,TRIP,word
28,MORE,word
29,EAST,word
30,WEST,word
31,OORD,no word
32,AERD,no word
33,DREA,no word
34,RHAD,no word
35,TOFS,no word
36,SOPT,no word
37,SOMT,no word
38,TROS,no word
39,DRAC,no word
40,PRAT,no word
41,DINF,no word
42,PSOT,no word
43,PLOF,no word
44,OOTS,no word
45,SOCT,no word
46,SOLP,no word
47,OLPS,no word
48,MRAT,no word
49,CALE,no word
50,DORC,no word
